,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accession_number,TANS760101,TANS760102,BRYS930101,THOP960101,MIRL960101,VENM980101,BASU010101,MIYS850102,MIYS850103,MIYS960101,MIYS960102,MIYS960103,MIYS990106,MIYS990107,LIWA970101,KESO980101,KESO980102,MOOG990101,BETM990101,TOBD000101,TOBD000102,KOLA930101,SKOJ970101,SKOJ000101,SKOJ000102,BONM030101,BONM030102,BONM030103,BONM030104,BONM030105,BONM030106,MICC010101,SIMK990101,SIMK990102,SIMK990103,SIMK990104,SIMK990105,ZHAC000101,ZHAC000104,ZHAC000106
GL,-5.2,155,-0.004,-0.08,0.23,0.0932,0.0782,-3.43,0.22,-4.16,0.29,13533,-0.16,0.18,-3.56,-3.79,0.33,-0.13,0.14,0.23,-0.20,0.5,0.4,0.7,0.6,0.3,0.3,0.2,5.9,4.9,5.7,-0.001538,0.30617,0.33203,0.01380,0.03720,0.00659,-1.87,-2.98,0.13
HL,-5.6,49,0.029,-0.36,0.16,0.01358,-0.0169,-3.84,0.16,-4.54,0.28,4133,-0.18,0.16,-3.69,-4.85,0.25,0.13,0.10,-0.17,-0.31,-0.3,-0.1,0.0,-0.2,-0.6,-0.5,-0.8,5.7,5.8,5.8,-0.004529,0.11443,0.31403,0.12272,-0.00183,0.00681,-0.79,-1.86,-0.03
IL,-7.5,230,-0.223,-1.04,-0.41,-0.1608,-0.5112,-6.17,-0.41,-7.04,-0.36,26396,-0.81,-0.21,-5.21,-6.67,-0.50,0.35,-0.79,-0.58,-1.15,-0.6,-1.3,-1.2,-1.2,-0.4,-0.3,-1.0,5.6,6.1,6.3,-0.000782,-0.1261,-0.35708,-0.08644,-0.01016,-0.01896,-2.93,-3.7,-1.15
LL,-6.0,167,-0.070,-1.14,-0.27,-0.0980,-0.5067,-5.79,-0.27,-7.37,-0.30,21432,-0.84,-0.20,-5.03,-7.16,-0.42,-0.06,-0.81,-1.42,-1.60,-0.6,-1.2,-1.1,-1.1,-0.4,-0.5,-1.2,5.7,6.2,6.2,-0.000748,-0.19983,-0.36593,-0.06027,-0.01409,-0.01700,-2.69,-3.5,-1.04
AK,-3.1,55,0.063,0.00,0.14,0.04718,0.0691,-1.10,0.15,-1.31,0.23,6019,0.41,0.13,-2.28,-1.91,0.06,-0.53,0.20,0.18,0.96,1.0,1.3,1.0,0.8,1.0,0.8,0.4,5.2,5.2,5.4,0.001754,0.39894,0.14682,0.06167,0.02223,0.00368,0.08,-0.70,1.06
RK,-3.6,20,0.734,0.30,0.75,0.0131,0.0839,-0.06,0.75,-0.59,0.49,1803,0.66,0.28,-1.47,-2.11,0.15,-0.01,0.50,0.56,1.24,1.7,1.1,0.6,0.4,1.0,0.2,-0.4,6.5,6.3,5.3,0.007273,0.55155,0.05722,-0.03348,-0.03842,-0.00416,1.21,0.28,1.65
NK,-3.3,39,0.222,0.18,-0.33,0.00884,-0.0381,-0.91,-0.32,-1.21,-0.32,4260,0.22,-0.18,-1.95,-1.63,-0.44,-0.17,-0.14,0.00,0.38,0.1,0.7,0.3,0.2,1.4,0.6,-0.2,5.3,5.7,5.9,0.006158,-0.07038,-0.28908,-0.17589,-0.04689,-0.00823,0.32,-0.35,1.11
DK,-3.2,54,-0.759,-0.09,-0.76,-0.09309,-0.1154,-1.32,-0.76,-1.68,-0.87,9501,-0.01,-0.50,-2.22,-2.47,-0.87,0.16,-0.69,-0.71,-0.55,-0.6,0.2,-0.2,-0.2,0.9,0.1,-0.8,5.3,5.6,5.8,-0.000642,-0.90014,-0.83773,-0.28130,-0.05616,-0.01640,0.09,-1.00,0.58
CK,-4.4,14,1.115,0.00,0.71,0.01137,-0.0330,-1.54,0.71,-1.95,0.59,1200,0.33,0.35,-2.71,-2.28,-0.50,-0.03,0.35,0.45,-0.38,1.6,1.3,0.9,-0.3,0.4,0.8,0.5,5.3,6.2,6.5,-0.006040,0.73178,0.30183,0.10403,0.08814,0.01873,-0.46,-0.74,0.76
QK,-3.7,32,-0.181,0.04,-0.38,-0.0489,-0.0735,-1.02,-0.38,-1.29,-0.32,3304,0.28,-0.17,-1.84,-2.56,0.00,-0.17,-0.20,0.86,-0.04,0.4,0.5,0.1,0.0,1.5,0.8,-0.3,5.7,5.8,5.8,0.002349,-0.24804,-0.21644,-0.16154,0.01306,-0.00765,0.53,-0.42,1.29
EK,-3.8,70,-0.782,-0.09,-0.97,-0.1536,-0.2403,-1.60,-0.97,-1.80,-1.04,10234,-0.06,-0.57,-2.20,-2.83,-1.11,0.16,-0.87,-0.34,-0.36,-0.7,0.0,-0.4,-0.4,1.4,0.2,-1.0,5.3,5.8,6.3,-0.009604,-0.92364,-0.84899,-0.32208,-0.09281,-0.01791,0.09,-1.06,0.93
GK,-3.8,92,0.065,0.10,0.11,0.0376,0.1963,-0.84,0.11,-1.15,0.01,6054,0.29,0.01,-2.08,-1.32,-0.17,-0.19,0.12,0.82,0.95,1.2,0.9,0.7,0.6,1.0,0.7,0.4,5.9,4.7,4.9,-0.001308,0.00501,-0.13111,0.00219,0.06072,-0.00007,-0.16,-0.83,1.08
HK,-4.1,21,-0.235,0.14,0.22,0.02636,0.0390,-1.09,0.21,-1.35,0.18,1554,0.38,0.10,-2.02,-2.14,-0.01,-0.02,0.26,0.79,-0.01,0.3,1.0,0.6,0.1,0.3,0.0,-0.6,5.2,5.6,5.9,0.002934,0.00361,0.15045,0.05396,0.07429,0.00289,0.40,-0.61,1.23
IK,-5.6,53,-0.058,-0.26,0.36,0.0175,0.0682,-2.70,0.36,-3.01,0.38,4199,0.24,0.22,-2.95,-2.88,0.32,-0.21,0.21,-0.08,-0.01,0.8,0.5,0.4,0.3,0.7,1.0,0.2,5.8,5.9,5.9,0.000855,0.2170,0.37502,0.16985,0.00004,0.01311,-0.56,-1.3,0.48
LK,-4.6,86,-0.015,0.10,0.19,0.0509,0.0543,-2.63,0.19,-3.37,0.41,6531,0.22,0.24,-2.74,-3.24,0.52,-0.07,0.16,0.43,1.02,1.1,0.5,0.3,0.3,0.6,0.8,0.3,5.4,5.8,6.0,0.002119,0.21292,0.42522,0.10764,-0.01861,0.01001,-0.20,-1.2,0.78
KK,-2.7,20,0.567,1.45,0.25,0.1122,0.1216,0.13,0.25,-0.12,0.37,1354,0.76,0.16,-1.14,-1.02,-0.22,-0.78,0.38,1.01,2.28,1.9,2.1,1.6,0.6,2.5,1.6,0.3,5.7,6.1,5.5,0.005109,0.56407,0.06908,-0.19507,-0.12343,-0.00994,1.52,0.47,2.23
AM,-4.6,26,-0.364,0.05,0.25,0.07572,-0.0847,-3.99,0.25,-3.94,0.00,5014,-0.27,0.00,-3.93,-4.42,-0.27,0.15,-0.23,-0.82,-0.85,0.1,-0.3,-0.2,-0.3,-0.2,0.0,-0.3,5.0,5.3,5.3,-0.001496,0.03521,-0.08634,-0.03220,0.00464,-0.00177,-1.28,-2.63,0.29
RM,-5.0,9,0.509,-0.43,0.31,0.0583,-0.0163,-3.49,0.31,-3.12,0.36,1463,0.03,0.20,-3.15,-4.13,0.30,0.37,0.17,0.40,0.67,0.1,0.2,0.0,-0.4,-0.3,-0.4,-0.6,5.8,6.3,6.1,-0.004676,0.12999,0.23747,0.07068,0.04384,0.00669,-0.10,-0.98,0.58
NM,-4.2,7,0.405,0.31,0.08,0.03734,0.0124,-3.50,0.08,-2.95,0.34,1410,0.04,0.19,-3.04,-3.05,0.32,-0.01,0.32,1.92,0.66,0.2,0.3,0.1,-0.3,0.5,0.6,0.2,5.2,6.3,5.7,0.018413,0.02882,0.13447,0.11448,-0.00145,0.00508,-0.46,-1.32,0.68
DM,-4.3,13,0.097,1.07,0.65,0.06106,-0.0197,-2.90,0.65,-2.57,0.64,1389,0.30,0.36,-2.80,-3.69,0.09,0.02,0.62,0.08,0.42,1.0,0.6,0.4,0.0,1.1,0.9,0.4,6.1,5.9,5.5,0.001491,0.32317,0.34501,0.06630,0.02495,0.00738,0.14,-1.04,0.75
CM,-6.2,11,-0.032,-1.23,0.19,0.13069,-0.0557,-5.05,0.19,-4.99,-0.05,1247,-0.61,-0.04,-4.72,-5.07,-0.08,0.00,-0.49,-1.99,-1.30,-1.8,-0.3,-0.5,-1.3,-0.4,-0.3,-0.7,5.3,5.8,5.3,0.014331,0.04462,-0.03164,-0.10678,0.00328,-0.00917,-2.17,-3.48,-0.74
QM,-3.5,1,0.013,-0.54,0.46,0.0304,-0.1038,-3.17,0.46,-3.30,0.07,1490,-0.06,0.04,-3.24,-4.46,0.27,0.23,-0.01,0.16,0.41,0.2,0.1,-0.1,-0.5,0.3,0.5,0.0,4.9,5.6,5.2,-0.002908,-0.03542,0.13752,0.01964,0.01284,0.00385,-0.23,-1.66,0.65
EM,-4.6,12,0.188,0.02,0.44,0.1327,0.0637,-3.19,0.43,-2.89,0.27,1827,0.12,0.16,-2.90,-3.76,0.13,0.10,0.24,0.06,0.00,0.0,0.4,0.4,0.0,1.1,0.9,0.3,5.9,5.7,6.2,0.003231,0.15161,0.21535,0.07144,0.00847,0.00624,0.27,-0.64,1.08
GM,-5.1,32,0.084,0.00,0.19,0.0944,-0.0573,-3.75,0.19,-3.39,0.17,3376,-0.17,0.10,-3.40,-3.02,0.31,0.34,0.08,0.08,-0.63,0.4,0.5,0.6,0.2,0.2,0.2,0.2,4.7,5.8,5.3,0.002339,0.14609,0.15193,-0.02177,0.00033,0.00184,-1.50,-2.48,0.54
HM,-5.4,7,0.293,-0.35,0.99,-0.01512,-0.0345,-3.31,0.98,-3.98,-0.05,1273,-0.29,-0.02,-3.80,-4.47,-0.17,0.00,-0.17,-0.52,0.18,-0.9,-0.4,-0.3,-0.9,-0.7,-0.6,-0.9,5.0,5.9,5.7,0.031785,0.01416,0.04739,0.03768,0.03515,0.00257,-1.00,-1.55,0.19
IM,-7.4,44,-0.103,-0.41,-0.28,-0.0974,-0.2137,-6.33,-0.28,-6.02,-0.23,5188,-0.66,-0.13,-4.95,-5.37,0.00,0.33,-0.60,0.03,0.07,-0.7,-1.0,-0.8,-0.9,-0.3,-0.2,-0.8,5.7,5.9,6.1,-0.009283,-0.0879,-0.15359,-0.00634,-0.04361,-0.00919,-2.44,-3.1,-0.52
LM,-6.3,58,-0.253,-0.31,-0.20,-0.0624,-0.1822,-6.01,-0.20,-6.41,-0.23,8218,-0.70,-0.13,-4.91,-6.24,-0.30,0.44,-0.68,-0.36,-1.39,-0.6,-1.0,-1.0,-1.0,-0.3,-0.3,-0.9,5.4,6.2,6.3,-0.002531,-0.12860,-0.14099,0.01406,0.01546,-0.00508,-2.37,-3.1,-0.68
KM,-4.7,21,0.347,0.55,0.00,0.0602,0.0866,-3.11,0.00,-2.48,0.41,1456,0.29,0.24,-2.58,-2.36,0.61,0.09,0.22,0.77,1.66,0.5,0.6,0.3,-0.1,0.7,1.0,0.3,5.8,6.5,5.8,-0.004667,0.15363,0.32782,0.15021,0.03596,0.00853,0.20,-1.17,1.15
MM,-5.8,6,-0.006,0.36,0.04,0.0140,-0.1059,-6.06,0.04,-5.46,-0.17,1125,-0.70,-0.20,-4.80,-5.89,-0.74,0.00,-0.56,-1.08,-1.89,-1.1,-1.1,-1.0,-1.4,-0.7,-0.5,-1.0,5.9,5.9,5.5,0.031655,-0.13998,-0.16514,-0.00959,-0.08561,-0.00882,-1.85,-1.95,-0.12
AF,-5.1,62,0.132,-0.05,0.03,0.03878,-0.1119,-4.36,0.03,-4.81,-0.03,10516,-0.36,-0.01,-4.04,-4.43,0.01,0.13,-0.33,-0.49,-0.79,-0.6,-0.2,-0.2,-0.2,-0.3,0.0,-0.2,5.1,5.5,5.8,0.005126,0.08139,-0.14905,0.02583,-0.02317,-0.00212,-1.70,-2.99,-0.41
RF,-5.8,32,-0.018,-0.22,0.41,0.0041,-0.0904,-3.54,0.41,-3.98,0.34,2956,-0.05,0.20,-3.26,-4.51,0.22,0.31,0.08,-0.89,0.43,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.6,5.7,6.1,5.9,0.004855,0.03136,0.27997,0.15212,0.00793,0.00902,-0.39,-1.44,0.24
NF,-5.0,27,0.336,-0.02,0.18,0.00294,0.0018,-3.55,0.18,-3.75,0.38,2940,-0.01,0.22,-3.17,-3.89,-0.22,-0.10,0.29,0.36,0.50,0.2,0.1,0.0,-0.2,-0.4,-0.4,-0.6,5.8,6.1,6.1,0.003461,0.26608,0.27039,0.09736,0.00709,0.00842,-0.43,-1.41,0.46
DF,-4.9,32,0.118,0.20,0.39,0.01164,0.0827,-3.31,0.39,-3.48,0.57,3217,0.18,0.32,-2.95,-3.52,0.55,-0.01,0.48,0.50,0.35,0.4,0.5,0.4,0.2,-0.1,-0.2,-0.3,5.6,5.9,5.6,0.004899,0.53784,0.33380,0.14568,0.02231,0.01138,-0.09,-1.43,0.38
CF,-6.8,32,-0.095,-0.98,-0.23,-0.04520,-0.3262,-5.63,-0.24,-5.80,-0.02,2573,-0.67,-0.02,-4.94,-4.81,0.49,0.18,-0.53,-2.52,-0.96,-1.5,-0.6,-0.8,-1.1,-1.4,-1.2,-1.5,5.4,5.8,5.9,-0.013925,0.09641,-0.08872,-0.05523,-0.06254,-0.01487,-2.87,-3.61,-1.44
QF,-5.3,21,0.283,0.10,-0.29,-0.1336,-0.0171,-3.30,0.48,-4.10,0.11,3056,-0.11,0.07,-3.25,-4.89,0.14,0.16,-0.04,-0.65,-0.10,0.0,-0.1,-0.1,-0.3,-0.4,-0.3,-0.6,5.7,6.1,6.1,0.003790,0.14340,0.11689,0.06410,0.01941,0.00704,-0.48,-1.59,0.39
EF,-5.0,22,0.270,0.19,0.27,0.0136,0.0885,-3.51,0.26,-3.56,0.44,3114,0.14,0.26,-2.89,-4.10,0.09,-0.11,0.34,-0.12,-0.56,0.1,0.4,0.2,0.1,-0.1,-0.1,-0.4,5.8,5.9,6.0,-0.001143,0.25134,0.29542,0.11831,0.01009,0.01030,-0.06,-1.22,0.55
GF,-5.6,67,0.457,0.21,-0.38,-0.1882,0.0789,-3.72,0.37,-4.13,0.27,6523,-0.19,0.16,-3.52,-3.76,-0.15,-0.12,0.11,0.90,-0.10,0.1,0.3,0.4,0.3,0.3,0.2,0.1,5.4,6.0,5.3,0.000189,0.21293,0.05265,0.07023,0.00280,0.00378,-1.63,-3.01,0.09
HF,-6.4,38,-0.141,-0.75,-0.16,-0.09404,-0.1250,-4.61,-0.17,-4.77,0.00,2581,-0.34,0.01,-3.95,-3.82,0.79,0.34,-0.19,-1.03,0.52,-1.0,-0.4,-0.3,-0.6,-0.8,-0.6,-0.9,5.5,6.0,6.1,-0.000190,0.03923,0.09431,0.03701,-0.00113,0.00222,-1.21,-1.83,-0.28
IF,-8.0,103,-0.348,-0.66,-0.19,-0.1160,-0.3791,-6.39,-0.19,-6.84,-0.21,10183,-0.73,-0.12,-5.25,-6.11,-0.44,0.59,-0.65,-0.72,-0.76,-0.8,-1.3,-1.1,-1.1,-1.4,-1.1,-1.4,6.0,6.2,6.4,-0.009792,-0.1911,-0.09249,-0.08883,-0.02499,-0.01376,-2.46,-3.5,-1.09
LF,-7.0,175,-0.460,-1.02,-0.30,-0.0551,-0.5450,-6.26,-0.30,-7.28,-0.26,17228,-0.80,-0.15,-5.18,-6.65,-0.40,0.41,-0.78,-0.89,-1.24,-0.9,-1.3,-1.1,-1.1,-1.4,-1.2,-1.4,5.8,6.2,6.3,-0.002127,-0.22682,-0.12690,-0.11808,-0.00421,-0.01304,-2.58,-3.5,-1.05
KF,-4.9,32,0.259,-0.17,0.44,0.0384,-0.0416,-2.83,0.43,-3.36,0.37,3098,0.19,0.22,-2.70,-2.70,0.57,-0.05,0.11,0.32,-0.01,0.3,0.4,0.3,0.1,-0.2,-0.1,-0.2,5.5,5.5,5.8,-0.004479,0.04828,0.31158,0.14062,0.01523,0.01045,-0.21,-0.92,0.74
MF,-6.6,20,-0.501,-1.03,-0.42,-0.0876,-0.1785,-6.68,-0.43,-6.56,-0.43,4546,-0.83,-0.25,-5.03,-5.58,-0.14,0.58,-0.89,-1.37,-1.04,-1.1,-1.3,-1.1,-1.2,-1.4,-1.2,-1.4,5.8,6.2,6.0,0.001010,-0.23360,-0.11997,-0.11397,0.00735,-0.00980,-2.25,-3.13,-0.60
FF,-7.1,53,-0.163,-0.61,-0.44,-0.11542,-0.3088,-6.85,-0.45,-7.26,-0.29,4778,-0.88,-0.22,-5.22,-6.45,-0.71,0.33,-0.82,-2.38,-1.39,-1.5,-1.5,-1.2,-1.3,-1.6,-1.4,-1.5,6.2,6.3,6.4,-0.013128,-0.24651,-0.19925,-0.10140,0.03221,-0.01272,-2.45,-3.10,-1.09
AP,-3.4,33,0.022,0.41,0.10,0.07816,0.1462,-1.81,0.10,-2.03,0.08,6368,0.15,0.06,-2.81,-1.78,0.19,-0.56,0.07,0.87,0.08,0.3,0.6,0.8,0.7,0.4,0.5,0.4,5.2,5.3,4.9,-0.005081,0.03615,0.08000,0.04566,0.02263,0.00258,-0.26,-1.64,0.48
RP,-4.2,20,-0.176,-0.02,-0.38,-0.0620,-0.0614,-1.85,-0.38,-1.70,-0.05,3036,0.17,-0.02,-2.29,-2.43,-0.17,0.03,-0.02,-0.59,-0.31,0.5,0.1,0.1,0.0,-0.1,-0.4,-0.5,5.7,6.1,5.3,-0.000067,-0.06999,-0.11752,-0.16615,-0.01342,-0.00549,0.45,-0.84,0.82
NP,-3.6,22,0.109,0.11,-0.18,0.01251,0.1560,-1.43,-0.18,-1.53,-0.07,3077,0.18,-0.03,-2.28,-1.01,0.19,0.02,0.13,0.08,-0.25,0.4,0.5,0.6,0.3,0.6,0.6,0.3,5.3,5.5,5.1,0.003707,-0.20175,-0.22235,-0.09111,-0.07512,-0.00660,0.59,-0.78,1.09
DP,-3.3,23,0.175,0.84,0.04,0.04375,0.2386,-1.19,0.03,-1.33,0.05,3483,0.33,0.03,-2.16,-1.24,0.36,-0.22,0.25,0.20,0.83,0.6,0.9,0.9,0.6,1.0,0.8,0.5,5.2,5.2,5.4,0.000755,-0.21449,-0.10799,-0.05572,-0.08884,-0.00591,0.44,-0.27,1.26
CP,-5.3,24,-0.199,0.07,0.00,-0.01505,0.0545,-2.92,-0.01,-3.07,0.04,1983,-0.18,0.03,-3.50,-2.97,-0.15,-0.28,-0.18,-0.19,-0.45,0.0,0.4,0.4,-0.4,-0.1,0.1,-0.1,5.9,5.7,5.2,-0.001720,-0.04477,-0.09590,0.01966,-0.02198,0.00302,-1.12,-1.92,-0.23
QP,-4.0,23,-0.545,-0.21,-0.42,-0.0837,0.1127,-1.73,-0.43,-1.73,-0.19,2779,0.17,-0.09,-2.35,-2.67,-0.11,-0.14,-0.05,0.24,-0.07,-0.1,0.2,0.4,0.0,0.6,0.5,0.3,5.7,5.4,5.8,0.000525,-0.16569,-0.18800,-0.08858,-0.06324,-0.00606,0.94,-0.58,1.09
EP,-3.5,17,-0.064,0.33,-0.10,0.0724,0.2241,-1.40,-0.11,-1.26,0.07,2989,0.37,0.05,-2.09,-1.70,0.01,-0.30,0.26,-0.18,0.24,0.6,0.7,0.5,0.4,1.0,0.7,0.4,5.5,5.3,5.6,0.005402,-0.14194,-0.08512,-0.10634,-0.05330,-0.00588,0.87,0.38,1.25
GP,-4.2,62,0.127,0.40,-0.11,0.0982,0.2131,-1.72,-0.11,-1.87,-0.14,6827,0.02,-0.07,-2.60,-1.01,0.13,-0.27,-0.01,-0.81,0.16,0.4,0.8,1.1,0.8,0.4,0.5,0.4,5.6,4.0,4.4,0.009071,-0.18438,-0.05692,-0.04698,-0.01507,-0.00235,-0.45,-1.85,0.74
HP,-4.5,15,0.037,-0.22,-0.21,-0.07370,0.0295,-2.17,-0.21,-2.25,-0.15,2097,0.01,-0.08,-2.69,-1.80,0.33,-0.22,-0.05,-1.01,0.93,-0.5,0.0,0.3,-0.2,-0.6,-0.5,-0.6,5.5,5.5,5.4,-0.002032,-0.27877,-0.05316,-0.05851,0.02330,-0.00167,0.31,-0.81,0.59
IP,-6.0,41,0.382,0.25,0.25,0.0427,0.0882,-3.47,0.25,-3.76,0.20,4600,-0.05,0.12,-3.62,-3.09,0.11,-0.43,0.05,-0.33,0.43,0.3,0.0,0.1,0.0,0.4,0.4,0.3,5.7,5.9,5.9,0.004353,0.5603,0.19667,0.12930,0.07910,0.01190,-1.14,-1.6,0.14
LP,-4.8,46,-0.170,0.09,0.42,0.0211,0.0745,-3.06,0.42,-4.20,0.15,7632,-0.12,0.09,-3.55,-3.75,0.01,-0.06,-0.08,0.08,-0.27,0.5,0.0,0.1,0.1,0.4,0.4,0.4,5.6,5.8,5.9,-0.005026,0.35217,0.20002,0.07467,0.04662,0.00832,-0.69,-1.9,0.10
KP,-3.6,34,0.068,0.51,0.11,0.1598,0.1099,-0.67,0.11,-0.97,0.09,2665,0.47,0.06,-1.95,-0.50,0.30,-0.46,0.12,0.42,0.45,1.1,0.9,0.8,0.5,1.3,1.1,0.6,5.9,5.9,5.4,0.009888,0.04081,-0.01420,-0.12627,-0.06779,-0.00579,0.64,-0.41,1.59
MP,-5.1,16,-0.104,-0.25,-0.34,-0.0395,-0.0069,-4.11,-0.34,-3.45,0.01,1916,-0.13,0.01,-3.43,-3.11,-0.14,0.39,-0.16,-0.75,-0.22,-0.2,-0.2,0.0,-0.4,0.3,0.3,0.2,5.4,5.8,6.1,-0.008698,0.11287,0.08185,0.09356,0.02119,0.00497,0.07,-1.43,0.54
FP,-5.2,19,-0.083,-0.43,0.20,0.06601,-0.0604,-3.73,0.19,-4.25,0.05,3930,-0.19,0.03,-3.54,-3.46,-0.19,0.08,-0.19,1.41,-0.09,-0.2,-0.1,-0.2,-0.3,-0.7,-0.6,-0.6,5.5,5.8,5.6,-0.006986,-0.10484,0.16121,0.12370,0.05823,0.00807,-0.42,-1.75,-0.04
PP,-3.5,11,0.033,0.28,0.26,0.013,0.1077,-1.18,0.26,-1.75,-0.12,1824,0.11,-0.11,-2.53,-0.83,-0.03,-0.57,-0.07,0.06,0.41,0.1,0.4,0.9,0.3,0.4,0.5,0.8,4.9,5.3,5.2,-0.003621,-0.04170,-0.20538,-0.13648,-0.08318,-0.00713,1.19,0.20,1.11
AS,-2.9,64,0.115,-0.01,-0.06,0.00648,0.0464,-1.89,-0.06,-2.01,-0.01,11447,0.10,0.01,-2.76,-2.49,0.08,-0.15,0.15,0.18,0.24,-0.1,0.9,0.9,0.8,0.3,0.3,-0.2,4.7,4.7,4.9,-0.001515,0.10475,0.00350,0.05356,0.00275,0.00167,-0.83,-1.74,0.45
RS,-3.8,44,-0.263,0.61,0.17,0.0856,0.0442,-1.22,0.17,-1.62,-0.08,4790,0.16,-0.03,-2.46,-2.78,0.08,0.19,0.12,0.84,0.91,0.0,0.2,0.3,0.2,-0.2,-0.4,-0.8,5.6,5.4,5.7,-0.001180,-0.02548,-0.18824,-0.09178,-0.00075,-0.00364,0.24,-0.81,0.55
NS,-3.1,42,-0.334,0.37,-0.14,-0.00054,0.1452,-1.31,-0.14,-1.58,-0.23,5920,0.09,-0.12,-2.36,-2.13,-0.32,-0.16,0.14,-0.78,-0.17,-0.3,0.7,0.4,0.2,0.5,0.3,-0.4,5.2,5.1,5.2,0.006249,-0.28825,-0.23763,-0.07509,-0.00988,-0.00464,-0.25,-1.16,0.81
DS,-2.7,37,-0.565,-0.09,-0.31,0.00055,0.0424,-1.46,-0.32,-1.63,-0.36,8327,0.10,-0.20,-2.31,-2.34,-0.13,0.00,0.01,0.32,0.29,-0.9,0.7,0.3,0.2,0.7,0.2,-0.5,5.2,4.7,5.4,-0.001609,-0.50285,-0.17464,0.00009,0.01674,-0.00305,0.11,-1.09,0.54
CS,-4.6,28,-0.164,-0.20,-0.02,0.01582,-0.0132,-2.86,-0.03,-2.86,0.14,3012,-0.13,0.08,-3.56,-3.41,0.02,0.15,0.09,0.47,-0.41,-0.4,0.6,0.4,-0.4,-0.1,-0.1,-0.5,5.1,5.3,5.5,0.001837,0.11283,-0.06203,-0.00836,-0.01602,0.00104,-1.36,-2.23,-0.47
QS,-3.6,44,0.298,0.40,-0.14,-0.0284,0.1169,-1.37,-0.15,-1.49,-0.06,3957,0.22,-0.04,-2.34,-3.06,0.10,-0.10,0.25,0.18,0.27,0.0,0.6,0.2,0.1,0.7,0.3,-0.2,5.4,5.3,5.3,-0.009002,-0.06140,-0.19343,-0.05424,0.02246,-0.00264,0.24,-1.10,0.75
ES,-3.2,41,-0.207,0.30,-0.26,-0.1229,0.0823,-1.48,-0.27,-1.48,-0.26,6343,0.18,-0.14,-2.22,-2.57,-0.25,-0.10,0.10,0.15,1.14,-0.2,0.6,0.4,0.3,0.9,0.5,-0.2,5.1,5.2,4.9,0.002888,-0.35312,-0.21143,0.00702,0.04724,-0.00227,0.50,-0.85,0.87
GS,-3.8,145,-0.100,-0.04,-0.16,-0.0505,0.1075,-1.70,-0.17,-1.82,-0.20,12019,-0.01,-0.10,-2.61,-1.68,0.08,-0.19,0.10,-0.05,-0.09,0.0,0.8,0.9,0.8,0.1,0.1,0.0,4.5,4.4,5.1,-0.003528,-0.27119,-0.20971,0.00867,-0.02573,-0.00315,-1.11,-2.03,0.61
HS,-4.3,43,0.080,-0.59,-0.05,0.00167,-0.0005,-1.94,-0.06,-2.11,-0.12,3073,0.04,-0.05,-2.76,-3.12,-0.38,0.08,0.15,1.17,-0.28,-0.6,0.0,0.1,-0.2,-0.6,-0.6,-0.9,5.3,5.4,5.5,0.009858,-0.11302,-0.19378,-0.06447,0.00237,-0.00329,-0.08,-1.53,0.46
IS,-5.5,65,0.254,-0.13,0.21,0.0070,0.0332,-3.43,0.21,-3.52,0.33,6443,0.03,0.20,-3.58,-3.47,0.33,-0.14,0.35,0.49,-0.14,0.4,0.3,0.4,0.3,0.4,0.4,0.0,5.3,5.4,5.8,0.001538,0.3130,0.35197,0.04214,0.00588,0.00742,-1.35,-1.6,0.09
LS,-4.4,93,0.390,-0.07,0.25,0.0255,0.0959,-3.16,0.24,-3.92,0.32,10084,-0.02,0.19,-3.47,-4.12,0.26,-0.19,0.26,0.80,1.13,0.4,0.4,0.4,0.4,0.3,0.4,0.0,5.2,5.6,5.5,0.001004,0.27135,0.34207,0.01289,-0.00136,0.00567,-1.24,-1.8,0.01
KS,-3.0,51,-0.246,0.18,-0.13,-0.0366,0.1690,-0.83,-0.13,-1.05,-0.10,5117,0.36,-0.05,-2.01,-1.91,-0.50,-0.24,0.10,-0.04,0.13,0.5,0.9,0.7,0.5,1.3,0.7,-0.1,4.9,5.5,5.4,0.005015,0.02715,-0.13103,-0.03768,0.05413,-0.00151,0.37,-0.83,1.24
MS,-4.1,14,0.259,-0.47,0.14,0.0551,0.0185,-3.55,0.14,-3.03,0.32,2205,0.05,0.19,-3.35,-3.33,0.25,-0.01,0.32,-0.20,-0.59,0.0,0.4,0.3,-0.1,0.6,0.4,0.0,5.5,5.2,5.5,0.002007,0.19696,0.10816,-0.02411,-0.02691,0.00105,-0.57,-1.72,0.56
FS,-4.7,36,0.357,0.14,0.29,-0.00013,0.0398,-3.56,0.28,-4.02,0.17,5567,-0.12,0.10,-3.46,-4.01,-0.14,0.05,0.10,-0.79,-0.01,0.0,0.1,0.1,0.0,-0.7,-0.6,-0.8,5.4,5.6,5.5,-0.001223,0.28005,0.09814,-0.01294,-0.00236,0.00283,-1.13,-1.77,0.17
